user_id,course_id,gender,school,enroll_time,classification_encoded,classification,school_encoded,course_id_encoded,comment_count_week1,reply_count_week1,questions_done_week1,attempts_count_week1,correct_answers_week1,total_score_week1,user_watching_time_week1,comment_count_week2,reply_count_week2,questions_done_week2,attempts_count_week2,correct_answers_week2,total_score_week2,user_watching_time_week2,comment_count_week3,reply_count_week3,questions_done_week3,attempts_count_week3,correct_answers_week3,total_score_week3,user_watching_time_week3
U_30390924,C_682340,0.0,辽宁对外经贸学院,2020-06-07 13:58:41,4,E,781,106,0.0654248069059518,0.0499999999999999,0.025735294117647,0.025735294117647,0.0259365994236311,0.0083333333333333,0.0615503314182302,0.0567563765941485,0.3,0.0946464034180667,0.089346899199451,0.0770798503057853,0.0357531438832347,0.0725521708290031,0.0937768855749928,0.0,0.0942969527884302,0.0948016995770774,0.0782577082555466,0.0673887240356083,0.1078912306023248
U_7872906,C_1829948,0.0,北方民族大学,2020-06-18 08:26:38,4,E,190,61,0.0654248069059518,0.0499999999999999,0.0055147058823529,0.0055147058823529,0.0028818443804034,0.0007575757575757,0.0615503314182302,0.0567563765941485,0.3,0.0946464034180667,0.089346899199451,0.0770798503057853,0.0357531438832347,0.0725521708290031,0.0937768855749928,0.0,0.0942969527884302,0.0948016995770774,0.0782577082555466,0.0673887240356083,0.1078912306023248
U_33220334,C_697076,2.0,辽宁对外经贸学院,2020-10-07 08:50:26,4,E,781,121,0.0654248069059518,0.0499999999999999,0.0436493249150473,0.0440403236448814,0.0491687422519116,0.0155290814765716,0.0615503314182302,0.0567563765941485,0.3,0.0946464034180667,0.089346899199451,0.0770798503057853,0.0357531438832347,0.0725521708290031,0.0937768855749928,0.0,0.0942969527884302,0.0948016995770774,0.0782577082555466,0.0673887240356083,0.0
U_33080073,C_735164,0.0,昆明理工大学,2020-11-10 09:33:55,0,A,476,138,0.2253521126760563,0.0756756756756756,0.0588235294117647,0.0680147058823529,0.0835734870317002,0.0378787878787878,0.0674681184766635,0.0424263674614305,0.2,0.4053156146179402,0.3831775700934579,0.4072847682119205,0.2,0.0917898989800581,0.0589553794829024,0.125,0.1951905915779157,0.2029904827840441,0.18862074218785,0.1838198337521747,0.1099969209874588
U_27597420,C_747056,1.0,辽宁对外经贸学院,2020-02-27 19:31:17,4,E,781,147,0.0,0.0499999999999999,0.0436493249150473,0.0440403236448814,0.0491687422519116,0.0155290814765716,0.0615503314182302,0.0567563765941485,0.3,0.0946464034180667,0.089346899199451,0.0770798503057853,0.0357531438832347,0.0725521708290031,0.0937768855749928,0.0,0.0942969527884302,0.0948016995770774,0.0782577082555466,0.0673887240356083,0.1078912306023248
U_4860012,C_758928,2.0,陕西工业职业技术学院,2020-02-23 11:52:00,4,E,876,150,0.0,0.0499999999999999,0.0436493249150473,0.0440403236448814,0.0491687422519116,0.0155290814765716,0.0615503314182302,0.032258064516129,0.3,0.0946464034180667,0.089346899199451,0.0770798503057853,0.0357531438832347,0.0725521708290031,0.0937768855749928,0.0,0.0942969527884302,0.0948016995770774,0.0782577082555466,0.0673887240356083,0.1078912306023248
U_33334172,C_697076,2.0,辽宁对外经贸学院,2020-11-09 13:34:43,4,E,781,121,0.0654248069059518,0.0499999999999999,0.0436493249150473,0.0440403236448814,0.0491687422519116,0.0155290814765716,0.0615503314182302,0.0567563765941485,0.3,0.0946464034180667,0.089346899199451,0.0770798503057853,0.0357531438832347,0.0725521708290031,0.0937768855749928,0.0,0.0942969527884302,0.0948016995770774,0.0782577082555466,0.0673887240356083,0.1078912306023248
U_6766435,C_1824911,0.0,重庆三峡医专,2020-06-02 10:25:40,3,D,814,57,0.1395680751173708,0.0222222222222222,0.1817716095380029,0.1849713991408784,0.182732984877833,0.0539645711963148,0.0960628454537561,0.1142219517143437,0.0,0.1915879360465116,0.1812451323987539,0.1522402731788079,0.065476661392405,0.0822632495252995,0.3409090909090909,0.0,0.1528239202657807,0.1528239202657807,0.152317880794702,0.1095238095238095,0.1456191212886692
U_29956886,C_747056,2.0,辽宁对外经贸学院,2020-05-13 10:36:26,4,E,781,147,0.0654248069059518,0.0499999999999999,0.0,0.0,0.0,0.0,0.0615503314182302,0.0567563765941485,0.3,0.0946464034180667,0.089346899199451,0.0770798503057853,0.0357531438832347,0.0725521708290031,0.0937768855749928,0.0,0.0942969527884302,0.0948016995770774,0.0782577082555466,0.0673887240356083,0.1078912306023248
U_11283389,C_936971,0.0,汉江师范学院,2020-07-20 14:19:21,4,E,519,162,0.0654248069059518,0.0499999999999999,0.025735294117647,0.025735294117647,0.0403458213256484,0.0151515151515151,0.0615503314182302,0.0567563765941485,0.3,0.0099667774086378,0.0093457943925233,0.0132450331125827,0.0063291139240506,0.0725521708290031,0.0937768855749928,0.0,0.0942969527884302,0.0948016995770774,0.0782577082555466,0.0673887240356083,0.1078912306023248
U_16517364,C_674959,1.0,辽宁对外经贸学院,2020-07-11 12:43:43,4,E,781,88,0.0654248069059518,0.0499999999999999,0.0055147058823529,0.0055147058823529,0.0057636887608069,0.0015151515151515,0.0615503314182302,0.0567563765941485,0.3,0.0946464034180667,0.089346899199451,0.0770798503057853,0.0357531438832347,0.0725521708290031,0.0937768855749928,0.0,0.0942969527884302,0.0948016995770774,0.0782577082555466,0.0673887240356083,0.1078912306023248
U_135286,C_1774987,0.0,重庆交通大学,2020-11-19 13:37:47,0,A,830,47,0.0652310710518036,0.0756756756756756,0.0698529411764705,0.0698529411764705,0.1066282420749279,0.0537878787878787,0.0674681184766635,0.0424263674614305,0.2,0.2159468438538206,0.2024922118380062,0.1821192052980132,0.0797468354430379,0.0917898989800581,0.0589553794829024,0.125,0.1951905915779157,0.2029904827840441,0.18862074218785,0.1838198337521747,0.1099969209874588
U_31509686,C_801420,2.0,辽宁对外经贸学院,2020-08-27 13:37:15,4,E,781,155,0.0654248069059518,0.0499999999999999,0.0110294117647058,0.0110294117647058,0.0172910662824207,0.0045454545454545,0.0615503314182302,0.0567563765941485,0.3,0.0946464034180667,0.089346899199451,0.0770798503057853,0.0357531438832347,0.0725521708290031,0.0937768855749928,0.0,0.0942969527884302,0.0948016995770774,0.0782577082555466,0.0673887240356083,0.1078912306023248
