user_id,course_id,gender,school,enroll_time,classification_encoded,classification,school_encoded,course_id_encoded,comment_count_week1,reply_count_week1,questions_done_week1,attempts_count_week1,correct_answers_week1,total_score_week1,user_watching_time_week1
U_29035147,C_1808487,0.0,辽宁对外经贸学院,2020-07-19 03:47:51,4.0,E,781.0,55.0,0.1971830985915492,0.0,0.0202205882352941,0.0202205882352941,0.0172910662824207,0.0053030303030303,0.1816492056775781
U_29938847,C_1992929,2.0,辽宁对外经贸学院,2020-09-21 07:42:36,4.0,E,781.0,81.0,0.0140845070422535,0.0,0.0753676470588235,0.0753676470588235,0.0864553314121037,0.0227272727272727,0.0278480670846636
U_32099316,C_1992917,2.0,辽宁对外经贸学院,2020-09-07 09:45:18,4.0,E,781.0,80.0,0.0140845070422535,0.0,0.0183823529411764,0.0183823529411764,0.0201729106628242,0.0053030303030303,0.0372547409316459
U_30267927,C_756642,2.0,广州中医药大学,2020-05-29 10:46:42,1.0,B,423.0,149.0,0.0140845070422535,0.0,0.025735294117647,0.025735294117647,0.0201729106628242,0.0053030303030303,0.050073531561334
U_6100222,C_1017355,2.0,广州中医药大学,2020-05-02 09:41:44,4.0,E,423.0,0.0,0.0140845070422535,0.0,0.0349264705882352,0.0349264705882352,0.031700288184438,0.0098484848484848,0.0322394891718275
U_31067514,C_682392,0.0,昆明理工大学,2020-08-19 18:29:37,0.0,A,476.0,108.0,0.1126760563380281,0.2,0.4485294117647059,0.4485294117647059,0.6743515850144092,0.2333333333333333,0.1216890410431972
U_6131351,C_1017355,1.0,华南理工大学,2020-05-05 12:26:48,3.0,D,211.0,0.0,0.1408450704225352,0.0,0.0514705882352941,0.0514705882352941,0.0403458213256484,0.0106060606060606,0.0524220102319498
U_6159315,C_735197,2.0,华南理工大学,2020-10-22 11:11:55,4.0,E,211.0,141.0,0.0985915492957746,0.0,0.0661764705882353,0.0661764705882353,0.0691642651296829,0.0189393939393939,0.050515828749471
U_6762800,C_1824911,2.0,重庆三峡医药高等专科学校,2020-06-02 10:24:22,4.0,E,822.0,56.99999999999999,0.1267605633802817,0.0,0.0220588235294117,0.0220588235294117,0.031700288184438,0.0083333333333333,0.0220410047313151
U_30054044,C_676635,0.0,广州中医药大学,2020-05-19 14:18:24,1.0,B,423.0,89.0,0.0422535211267605,0.0,0.0422794117647058,0.0422794117647058,0.063400576368876,0.0166666666666666,0.1199438396738084
U_32612192,C_735164,2.0,昆明理工大学,2020-11-28 10:45:19,0.0,A,476.0,138.0,0.0,0.2,0.2849264705882353,0.3216911764705882,0.440922190201729,0.1598484848484848,0.0183028811016655
U_30646473,C_735115,0.0,辽宁对外经贸学院,2020-06-22 12:56:05,4.0,E,781.0,136.0,0.0422535211267605,0.0,0.1636029411764706,0.1636029411764706,0.2363112391930835,0.0818181818181818,0.0157366580759318
U_16022635,C_1755893,1.0,清华大学,2020-05-09 10:45:14,4.0,E,612.0,19.0,0.0422535211267605,0.0,0.0367647058823529,0.0533088235294117,0.0518731988472622,0.0212121212121212,0.0444226718467515
U_31397527,C_1771165,0.0,辽宁对外经贸学院,2020-08-23 10:57:04,4.0,E,781.0,38.0,0.0845070422535211,0.0,0.0036764705882352,0.0036764705882352,0.0057636887608069,0.0015151515151515,0.0421187213909297
U_8763008,C_735197,0.0,华南理工大学,2020-09-24 11:29:58,3.0,D,211.0,141.0,0.1549295774647887,0.0,0.1102941176470588,0.1102941176470588,0.1729106628242074,0.05,0.0662957264299726
