user_id,course_id,gender,school,enroll_time,classification_encoded,classification,school_encoded,course_id_encoded,comment_count_week1,reply_count_week1,questions_done_week1,attempts_count_week1,correct_answers_week1,total_score_week1,user_watching_time_week1,comment_count_week2,reply_count_week2,questions_done_week2,attempts_count_week2,correct_answers_week2,total_score_week2,user_watching_time_week2
U_30390924,C_682340,0.0,辽宁对外经贸学院,2020-06-07 13:58:41,4,E,781,106,0.0845070422535211,0.0,0.0236966824644549,0.0236593059936908,0.008695652173913,0.0083333333333333,0.0673314320531281,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0849565379918236
U_7872906,C_1829948,0.0,北方民族大学,2020-06-18 08:26:38,4,E,190,61,0.0845070422535211,0.0,0.0063191153238546,0.0063091482649842,0.0009661835748792,0.0007575757575757,0.0673314320531281,0.064516129032258,0.0,0.2019867549668874,0.1925465838509316,0.1688741721854304,0.0886075949367088,0.0849565379918236
U_33220334,C_697076,2.0,辽宁对外经贸学院,2020-10-07 08:50:26,4,E,781,121,0.0845070422535211,0.0,0.2101105845181674,0.2097791798107255,0.0821256038647343,0.0712121212121212,0.0673314320531281,0.064516129032258,0.0,0.0629139072847682,0.0590062111801242,0.0496688741721854,0.0253164556962025,0.0849565379918236
U_33080073,C_735164,0.0,昆明理工大学,2020-11-10 09:33:55,0,A,476,138,0.2253521126760563,0.0,0.0521327014218009,0.0599369085173501,0.0280193236714975,0.0378787878787878,0.0673314320531281,0.064516129032258,0.0,0.4072847682119205,0.3850931677018633,0.4072847682119205,0.2,0.0849565379918236
U_27597420,C_747056,1.0,辽宁对外经贸学院,2020-02-27 19:31:17,4,E,781,147,0.0,0.0,0.2006319115323854,0.2003154574132492,0.0705314009661835,0.0606060606060606,0.0673314320531281,0.064516129032258,0.0,0.0562913907284768,0.0527950310559006,0.043046357615894,0.0215189873417721,0.0849565379918236
U_4860012,C_758928,2.0,陕西工业职业技术学院,2020-02-23 11:52:00,4,E,876,150,0.0,0.0,0.2274881516587677,0.2271293375394321,0.0734299516908212,0.0598484848484848,0.0673314320531281,0.032258064516129,0.0,0.0165562913907284,0.015527950310559,0.009933774834437,0.0037974683544303,0.0849565379918236
U_33334172,C_697076,2.0,辽宁对外经贸学院,2020-11-09 13:34:43,4,E,781,121,0.0845070422535211,0.0,0.2353870458135861,0.2350157728706624,0.1043478260869565,0.0924242424242424,0.0673314320531281,0.064516129032258,0.0,0.0827814569536423,0.077639751552795,0.0662251655629139,0.0341772151898734,0.0849565379918236
U_6766435,C_1824911,0.0,重庆三峡医专,2020-06-02 10:25:40,3,D,814,57,0.0845070422535211,0.0,0.259083728278041,0.2586750788643533,0.1246376811594202,0.1113636363636363,0.0673314320531281,0.064516129032258,0.0,0.0960264900662251,0.0900621118012422,0.0794701986754966,0.040506329113924,0.0849565379918236
U_29956886,C_747056,2.0,辽宁对外经贸学院,2020-05-13 10:36:26,4,E,781,147,0.0845070422535211,0.0,0.0015797788309636,0.001577287066246,0.0,0.0,0.0673314320531281,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0849565379918236
U_11283389,C_936971,0.0,汉江师范学院,2020-07-20 14:19:21,4,E,519,162,0.0845070422535211,0.0,0.0236966824644549,0.0236593059936908,0.0135265700483091,0.0151515151515151,0.0673314320531281,0.064516129032258,0.0,0.0132450331125827,0.0124223602484472,0.0132450331125827,0.0063291139240506,0.0849565379918236
U_16517364,C_674959,1.0,辽宁对外经贸学院,2020-07-11 12:43:43,4,E,781,88,0.0845070422535211,0.0,0.0063191153238546,0.0063091482649842,0.0019323671497584,0.0015151515151515,0.0673314320531281,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0849565379918236
U_135286,C_1774987,0.0,重庆交通大学,2020-11-19 13:37:47,0,A,830,47,0.0845070422535211,0.0,0.0616113744075829,0.0615141955835962,0.0357487922705314,0.0537878787878787,0.0673314320531281,0.064516129032258,0.0,0.2185430463576159,0.2049689440993788,0.1821192052980132,0.0797468354430379,0.0849565379918236
U_31509686,C_801420,2.0,辽宁对外经贸学院,2020-08-27 13:37:15,4,E,781,155,0.0845070422535211,0.0,0.0110584518167456,0.0110410094637223,0.0057971014492753,0.0045454545454545,0.0673314320531281,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0849565379918236
U_16551956,C_735283,2.0,梧州学院,2020-07-04 16:00:38,4,E,500,143,0.0845070422535211,0.0,0.0047393364928909,0.0047318611987381,0.0028985507246376,0.0022727272727272,0.0673314320531281,0.064516129032258,0.0,0.0662251655629139,0.062111801242236,0.0529801324503311,0.0265822784810126,0.0849565379918236
U_29799486,C_674920,0.0,辽宁对外经贸学院,2020-06-17 17:51:04,4,E,781,87,0.0845070422535211,0.0,0.1895734597156398,0.1892744479495268,0.0357487922705314,0.028030303030303,0.0673314320531281,0.064516129032258,0.0,0.0165562913907284,0.015527950310559,0.009933774834437,0.0037974683544303,0.0849565379918236
U_31144531,C_697076,0.0,辽宁对外经贸学院,2020-08-06 14:15:18,4,E,781,121,0.0845070422535211,0.0,0.0078988941548183,0.0078864353312302,0.0038647342995169,0.003030303030303,0.0673314320531281,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0849565379918236
U_30289996,C_1714448,0.0,辽宁对外经贸学院,2020-05-30 22:46:25,4,E,781,8,0.0845070422535211,0.0,0.0063191153238546,0.0063091482649842,0.0009661835748792,0.0007575757575757,0.0673314320531281,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0849565379918236
U_14345806,C_682575,0.0,昆明理工大学,2020-07-06 01:06:02,0,A,476,113,0.0845070422535211,0.0,0.0947867298578199,0.0946372239747634,0.051207729468599,0.0401515151515151,0.0673314320531281,0.064516129032258,0.0,0.1390728476821192,0.1335403726708074,0.1158940397350993,0.060759493670886,0.0849565379918236
U_34040612,C_735164,1.0,昆明理工大学,2020-10-20 20:04:33,0,A,476,138,0.0845070422535211,0.0,0.1090047393364928,0.1104100946372239,0.0570048309178743,0.056060606060606,0.0673314320531281,0.064516129032258,0.0,0.152317880794702,0.1459627329192546,0.1291390728476821,0.0670886075949367,0.0849565379918236
U_22295978,C_707358,1.0,湖北文理学院理工学院,2020-05-14 11:27:54,0,A,626,134,0.0845070422535211,0.0,0.0157977883096366,0.0173501577287066,0.008695652173913,0.0068181818181818,0.0673314320531281,0.064516129032258,0.0,0.0496688741721854,0.0652173913043478,0.0496688741721854,0.0189873417721519,0.0849565379918236
U_2329805,C_735164,0.0,华东交通大学,2020-09-20 10:59:19,0,A,195,138,0.0,0.0,0.0173775671406003,0.0205047318611987,0.0376811594202898,0.0446969696969697,0.0673314320531281,0.064516129032258,0.0,0.23841059602649,0.2298136645962732,0.2019867549668874,0.1050632911392405,0.0849565379918236
U_33009480,C_735164,1.0,昆明理工大学,2020-10-21 16:45:27,0,A,476,138,0.0845070422535211,0.0,0.1105845181674565,0.11198738170347,0.0589371980676328,0.0575757575757575,0.0673314320531281,0.064516129032258,0.0,0.1556291390728476,0.1490683229813664,0.1291390728476821,0.0670886075949367,0.0849565379918236
U_32716468,C_735164,2.0,昆明理工大学,2020-12-06 22:55:27,0,A,476,138,0.0845070422535211,0.0,0.2464454976303317,0.2492113564668769,0.1507246376811594,0.1636363636363636,0.0673314320531281,0.064516129032258,0.0,0.2748344370860927,0.2639751552795031,0.2350993377483443,0.1227848101265822,0.0849565379918236
U_30356790,C_1829948,0.0,中国医科大学,2020-06-04 18:35:09,2,C,69,61,0.1408450704225352,0.0,0.0963665086887835,0.0962145110410094,0.0531400966183574,0.0416666666666666,0.0673314320531281,0.2258064516129032,0.0,0.6556291390728477,0.6149068322981366,0.4768211920529801,0.1822784810126582,0.0849565379918236
U_24747945,C_808528,0.0,昆明理工大学,2020-02-19 21:04:09,0,A,476,156,0.0,0.0,0.0995260663507109,0.0993690851735015,0.0454106280193236,0.0446969696969697,0.0673314320531281,0.0,0.0,0.1423841059602649,0.1366459627329192,0.119205298013245,0.060759493670886,0.0849565379918236
U_8934540,C_735197,0.0,华南理工大学,2020-09-20 10:24:23,3,D,211,141,0.0845070422535211,0.0,0.0,0.0,0.0,0.0,0.0673314320531281,0.064516129032258,0.0,0.0463576158940397,0.0434782608695652,0.0397350993377483,0.0227848101265822,0.0849565379918236
U_8617846,C_758928,1.0,陕西工业职业技术学院,2020-03-19 18:39:10,4,E,876,150,0.0,0.0,0.2274881516587677,0.2271293375394321,0.0734299516908212,0.0598484848484848,0.0673314320531281,0.064516129032258,0.0,0.0165562913907284,0.015527950310559,0.009933774834437,0.0037974683544303,0.0849565379918236
U_29956798,C_747056,2.0,辽宁对外经贸学院,2020-05-13 10:33:46,4,E,781,147,0.0845070422535211,0.0,0.0047393364928909,0.0047318611987381,0.0028985507246376,0.0022727272727272,0.0673314320531281,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0849565379918236
U_20962523,C_948120,2.0,中国农业大学,2020-09-24 16:40:50,4,E,67,167,0.0845070422535211,0.0,0.0236966824644549,0.0236593059936908,0.0125603864734299,0.0098484848484848,0.0673314320531281,0.064516129032258,0.0,0.1026490066225165,0.0962732919254658,0.086092715231788,0.0354430379746835,0.0849565379918236
U_19956975,C_676646,1.0,西安美术学院,2020-05-28 19:51:49,0,A,727,90,0.0845070422535211,0.0,0.0568720379146919,0.056782334384858,0.0347826086956521,0.0272727272727272,0.0673314320531281,0.064516129032258,0.0,0.009933774834437,0.0093167701863354,0.0033112582781456,0.0012658227848101,0.0849565379918236
U_33748963,C_697076,2.0,辽宁对外经贸学院,2020-11-17 14:57:25,4,E,781,121,0.0845070422535211,0.0,0.0315955766192733,0.0315457413249211,0.0164251207729468,0.0143939393939393,0.0673314320531281,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0849565379918236
U_31026734,C_735283,2.0,辽宁对外经贸学院,2020-07-20 16:56:02,4,E,781,143,0.0845070422535211,0.0,0.0031595576619273,0.0031545741324921,0.0009661835748792,0.0007575757575757,0.0673314320531281,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0849565379918236
U_30371427,C_676635,1.0,昆明理工大学,2020-06-12 16:17:45,0,A,476,89,0.0845070422535211,0.0,0.0552922590837282,0.0552050473186119,0.0338164251207729,0.0265151515151515,0.0673314320531281,0.064516129032258,0.0,0.1158940397350993,0.1118012422360248,0.0960264900662251,0.0493670886075949,0.0849565379918236
U_33248700,C_697076,1.0,辽宁对外经贸学院,2020-11-16 19:09:49,4,E,781,121,0.0845070422535211,0.0,0.0015797788309636,0.001577287066246,0.0,0.0,0.0673314320531281,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0849565379918236
